name,ops,image_url,profile_link,community_member,youtube_link
Elaine Aron,BS/C(P),https://v5.airtableusercontent.com/v2/23/23/1700596800000/vztDiFcZM-BgJjBf9rxZqQ/JG8ou7lzYhhWJO4ynieM0fru7GJ74phvhFs6nqnwNIiwMFNMHvrOaRTPs5KkZ7MgRXjigcMizL8PmCsrbNtfZK4SvCf5-QuIXbRtDnMtJ-0H5wK2AF2HDlIPLJhwMtkX6iebJBYKEmenpAMgvmSaXw/MK2A34fQURI0F7-bh9ZSaSw-q3JT4qNlykcFbtq4M18,http://app.subjectivepersonality.com/search/person?person=Elaine Aron,0,https://www.youtube.com/results?search_query=Elaine%20Aron%20interview
Prince Harry,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/VBjrWLB-9NTjB2wMAPuE5A/-0fifLNsrOdHla-M1DhvLu63L-n80F481ra8mgF8W_FRp3MUA43qu7m0iLmpCA0p8xygG88vsN-hMIum9yXd36rbBUu82IrUBPpmDKKitKPh_QnbURs4hlBCLv4PBVqMZsjpq0bymFisC3TTNoblbQ/68r-NLlVMoMK1u5QURdyKnjIrT5k1AGxseotmFJ2Qks,http://app.subjectivepersonality.com/search/person?person=Prince Harry,0,https://www.youtube.com/results?search_query=Prince%20Harry%20interview
Akiva Schaffer,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/_LrbhAy-AQJMpK23zYrQOg/JLw-8YCjJrXmy37qq6BTKsqX6e9ubM7jC5AsynbMiowPKRAxpFmy56f8-ktYtKmTLJjj4SwCJJ2LVXzUvnPX1d5Dj3gOGtMLzFfUUDlOxOhPQhNc8JQMLZqvHiY9j1uqcDsvIY6dP-xNw_II-VTDLA/A8A4ovx1BFb0egZakG8uh4mBA4VfAS84sLXOkh04fBo,http://app.subjectivepersonality.com/search/person?person=Akiva Schaffer,0,https://www.youtube.com/results?search_query=Akiva%20Schaffer%20interview
Elijah Wood,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/12LbQSprT23D2zMjHZ6OvA/z1ZeHk5GEHYbx2pi37F9YJIEvqysuH4zMgHFr7DtahiYu0NWK-j_CH46NEk8T3ye6ywHt-0IrwNTMP5dCLt5dc7cL0MT7X2JM-GYYaTaxL7mqBvFiHwRiT1OXNklz_z3TLYrLNEhIJAyLczGm6RU0g/_xu-o4TxFRELJcp4-Fg_BxLUw5cYYdP1YuYFkybjgu0,http://app.subjectivepersonality.com/search/person?person=Elijah Wood,0,https://www.youtube.com/results?search_query=Elijah%20Wood%20interview
Michael Cremo,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/V9oKC5BxxZQdM-0Ek7qoHw/QwPwK0ULuVY__ISMqLqocguF74RR7QglxETbQF5L-fAteGJbQfCgu2KILeS6SsmtUCEmLXs2Sk4hO8ORcLP1iDbn1xqWsP22BElVZ80eYXDB8s-0bxItjRRaOTzdFcRj6gFwZ_mDCK1ElMc3ABMy5g/QbrkynjjjdMOWO-XtkJQg7aI_6Uud6j0CjHMYbBhIms,http://app.subjectivepersonality.com/search/person?person=Michael Cremo,0,https://www.youtube.com/results?search_query=Michael%20Cremo%20interview
Christopher Nolan,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/TByxt_IFv4Fu26jUBKtMfw/4dw_aY2BLHfX-lg5lUYllZtGuiQ7rELIAkhzqR7QX47qS5MSQdwqID3QF_0QreDZNHqb2Be5LSLi8ynsYaqK9AC_dsfO_9IQFj5dI3M-LEFdNLXllbhSwKoVurODVzwf_ZOxRhXIOyfHq64t_4f3bg/07z65eiyFf9u2Wj_e6lSSehL1_Bpetn2g1YktVgNl2Q,http://app.subjectivepersonality.com/search/person?person=Christopher Nolan,0,https://www.youtube.com/results?search_query=Christopher%20Nolan%20interview
Evelien S. Vandenberghe,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/vJY-BB5mXdSiou8fuz7aOQ/6CcEo4B1HNOltTmRxTeSM-cCMCfVrXBiqTQmgWpma8hVP8uJhNFEvHYF1pv-QutM0uk4BVKeXfL9va_98p6llxOI1xfIwRG8aPiBPsgjOIbNKsJfmfNdoe075jd8xyp8j7nIrSiBL7fX8OMHN5WMnQ/L7nbGUwfFmzIYaGqzMln6-dbyy0KTTmxj1DZUb0PjcE,http://app.subjectivepersonality.com/search/person?person=Evelien S. Vandenberghe,1,https://youtu.be/cTCvKqgi0Bk
Neha,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/4avbClmAOs3pYBF2Pqa6Jg/ZsV1EdfOLHhRH-Wf7xN-IfpCAe7VQ-lFgatKhUGstqYSdaSTQAntWQe-isIJTZ1uqC87CTc2VNVNMQK7vptjOzQESoSE7r2hUeDJ5bXbBzH_y6NNKufJ_bE-zDTn4tcpRHgra7N51DPv3RNDU4P3DQ/2hYo2R5Tt3XrrJJnkVnhLwRk-h8GCC-np4OvPVxH_ao,http://app.subjectivepersonality.com/search/person?person=Neha,1,https://youtu.be/o78IsJKZY1A
Fred Rogers,FF-Ti/Si-SC/P(B) [4],https://v5.airtableusercontent.com/v2/23/23/1700596800000/RZU8n0F2_UE7-gjKyBWkbw/NTljSQBaNrbDNtlPFsJeyIE3EeRp0XfaMi8Pp7vWeeSCkDs0KKjymxa_h4inYCn-vy9xMEAy4542RmUEim7vCXb_KQRo8y9NwtcRRtzqBUOWZDbtbCmTQPZzR4WW7s4jrDcXpcVqEmogtimJNAK_NQ/olqkdFko2X5em5-DrpS24BWcUfy9Km9xYjPR8SEDLMo,http://app.subjectivepersonality.com/search/person?person=Fred Rogers,0,https://www.youtube.com/results?search_query=Fred%20Rogers%20interview
Bill Nye,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v2/23/23/1700596800000/f6pG2MC1tlmxy3gqzeiQQw/pdzKEGtlBzq65qJsSlxzmUpNNDiSkVEzpn-SvuTO8VjcwXcuWeTJ1VbEDqSpk138u9EPwL-MT5tHZbSo1rIfrE4XFH7_XUgm8fjx_KxBX14NEvOxSoa-JdjVhjZkrzUXDpp7AXh0yXMXs64dS7Yptg/H8EEoa7AO7aNQBNWfdCIGUr5mSvKNFLMUEbrJJ7bh0s,http://app.subjectivepersonality.com/search/person?person=Bill Nye,0,https://www.youtube.com/results?search_query=Bill%20Nye%20interview
