name,ops,image_url,profile_link,community_member,youtube_link
@lillgoose,xx-Fe/Si-Bx/xC,https://v5.airtableusercontent.com/v2/23/23/1700251200000/xXu7k4vYP506q2uKoLQg-g/D99kw0ztXFIq7EaUPPaJUXhfOLzvwKQ12xcVag3KmcPQNf65e0he8eSVxEczuXcpe2JeoxVd4hjPXxnvoq-AOIwcHR7KtA7u78F18V-l3gD5_FjHlz8pgZ7igHgAdTFCBtusJ2jBpkHLYPEfiqKIqw/QURJxoCSefBb_JeOcrkOLu_JJXjLZK_1UEBXWfLZrYI,http://app.subjectivepersonality.com/search/person?person=@lillgoose,0,https://www.youtube.com/results?search_query=@lillgoose%20interview
Aaron,MM-Se/Ti-CP/BS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/hSgT7DBLBrn5hcZR5Y9cSg/W4Pk0Xvvc3J8tOwi0Aa_JLdGej3XYoBELivzW8WxFrZXA5XMNlVO-Sn17WsyLBcD2BQvUbgguddsLwhKdXRFIat7Gf4-lgHazfkIyoJiAF7fNk5ovjAe30tQ16cBPGDLsczk3AJ8oq2wy-aTEHRduw/XtezCj2IJUGB7EFCDebP1IMxvABj4qbnmKo4fcYOmxc,http://app.subjectivepersonality.com/search/person?person=Aaron,1,https://www.youtube.com/watch?v=OVoWVKKLPYk
Aaron Alexander,MF-Fi/Se-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/pjDRttduzlG2uoTeYzqgPw/FG8xFoIPrlQYHuGfsUdBnFmjx5iPUX5GHN1SwYALCL2NWYnA9dgE_9V7vyq08c3iD0NFcga7pOXSODe78QVWW0t7jIDaI-Ku-x3Q2kwWd0CPa9NUqHLnfPeCTZwVoWhRShf3TdDs22rxP1mBkQc9VA/CRgx76KfmrTj-t5S4YWWDLq7bX2q_atBW6eHQUfZaFM,http://app.subjectivepersonality.com/search/person?person=Aaron Alexander,0,https://www.youtube.com/results?search_query=Aaron%20Alexander%20interview
Aaron Bidochka,MF-Ni/Fe-BP/CS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/nvTl4CLAXfcLo4qreZS2hg/wbkr3ptdh9VanjnVNgr-C1XxLa07qI4QDBtBYJdwI82YQ37CkxNBcAwTid5yYpMuVtsnB_-zAmZ4zZYzr6ZWAo9hjqvIw3z0RpVqoWDqMLJylr5poHsZc5zCteHf_s3RF9Nj8glcFG2cD4r50PDjDQ/C1hZcjAF0bmgbanZRSjGSKioGZpGycnvro1EfJjajC8,http://app.subjectivepersonality.com/search/person?person=Aaron Bidochka,0,https://www.youtube.com/results?search_query=Aaron%20Bidochka%20interview
Aaron Eckhart,MF-Te/Ne-PC/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/9h9dYfSNjAX2S_irvaNMWw/rvuShfCTAtH1RXCzS0zv9RRAp9xcuV90Qz60emN7JCKW2oEHw1CwTLbkUVj8XCg6Zcyv59OH7nGJyp8vAGESIHc5z6ivPc9PJeQRvxrjm0J_XVlTcUNbyQUf1fbOyoBRxygMuYGfyEFXa9_guSRShQ/nbcwwCP0cJiJV2_tTiHmQYxHMSCQkhJBGW9bk8SX6tw,http://app.subjectivepersonality.com/search/person?person=Aaron Eckhart,0,https://www.youtube.com/results?search_query=Aaron%20Eckhart%20interview
Aaron Paul,MF-Ne/Fi-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/rbSuQj6swKF4I3k9-hCQzQ/xN0nLkr5CMTulzo5y91mhBMIulBqLGacsMhxZPadk4OWHhJKtTAXmao2V87R-8U83Xfue85ldJsBhHGNxkDs4x3n_nFGl2RO1cOCX2g7H1hMcN41IpJnVf_8shPHw__Rz-Yy-dAB9rqq0p7ohOvSsw/yDL_ypi4z1o-Uh0PpTWhptkELu2tlsGpmArUGpsf2m0,http://app.subjectivepersonality.com/search/person?person=Aaron Paul,0,https://www.youtube.com/results?search_query=Aaron%20Paul%20interview
Aaron Sorkin,MF-Ne/Te-PB/CS,https://v5.airtableusercontent.com/v2/23/23/1700251200000/jcYAaSlxVZnZMr-0qRRaow/o0CMQ7WTC6Gw90YZ6wlznUUt7FAJ_UhDbVj4KNxub8IoOPiemyzOtauWA6LPluT3rsP8BtLn8hHWMzx_nwR_QmqbdWmVEmsbnycHxGRCHgWK72ID3cF4gAxhXg7JJidBOqzT3N1lr1HQuMe15HiZag/yEI3QC7VHf2tDQj9yD8Utfzrl5C_p91ASWsbevpPvno,http://app.subjectivepersonality.com/search/person?person=Aaron Sorkin,0,https://www.youtube.com/results?search_query=Aaron%20Sorkin%20interview
Abby,FM-Se/Te-PC/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/RQ0vNbJMf8fDJZIr8nf4cg/4XrVb4O0esOTFT_ZpTzQV38o9kLlrsKeOd_xQ49p03gDPLC4j1Udg8kWMEv97Q6p4px0vW5gELRUgQvgXYUgifKfirPBUZpZR2FUupf411NzpypXWtF3zYYQFf6M6Sj-3P2VsnLpklpdiKwFa7pF9Q/BmPy3WYCHHff9MW54qqqOJmdAXqICjX0d1CRO2J65EA,http://app.subjectivepersonality.com/search/person?person=Abby,1,https://youtu.be/LB7mlKBvE-I
Abby Williamson,MM-Ne/Fi-CP/SB,https://v5.airtableusercontent.com/v2/23/23/1700251200000/yjoGx5NWAF2Qw9XZ6rQtNA/cjFWA-2YCcuZoJ8vcHivy3O6A4Hml4uGyx-gDJ0GdsEkms9eAc6EWUrChHcIYpFxXBe6OqGL1fQIWRkqCN9C36hATMUTJc6js8TSCOo1HUN4eCW5JNDEfPYNTxFwVzlx2pU8xyOs1J7DcJTxtphC5Q/JyRm_Hxn7cRE3lys0Z1XfPqXbNNfpMbPZSpTWs-IRc8,http://app.subjectivepersonality.com/search/person?person=Abby Williamson,0,https://www.youtube.com/results?search_query=Abby%20Williamson%20interview
Abraham Maslow,xx-Ne/Ti-Cx/xx,https://v5.airtableusercontent.com/v2/23/23/1700251200000/nHB8sSM3aO3yad8wSVqLnA/hsf2sgBExH0hH_ZSMs-qlez5um4AWmBtMzf9Sf7PSiIDcY3EnrUym60s_ITcXVmuWNMeeIlJ6sO2VQhHenkV6exHuj62_WepnQMSwXSQULipCJu6G_Q8L-qteUXFiJC-bPYFcd_9y0AafoP8o0Ul_g/D7NFd2v_6vyF-cyS2g5o9z4tbgIidppTVpSy8jjo1u0,http://app.subjectivepersonality.com/search/person?person=Abraham Maslow,0,https://www.youtube.com/results?search_query=Abraham%20Maslow%20interview
