name,ops,image_url,youtube_url,Unnamed: 4,Human Needs_Observer,Human Needs_Decider,Human Needs_Preferences,Letter_Observer,Letter_Decider,Animal_Energy Animal,Animal_Info Animal,Animal_Dominant Animal,Sexual Modality_Sensory,Sexual Modality_Extraverted Decider
Prince Harry,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/NdlBY7Sdum3HK0iuP4k0Cg/g9bikFZGKgg_lgFLdlhEYITRzR5SJTsfR0_uosV2b7E9uF-iWgrGv0yFXybwE2aAgQ11Hfrocg3SHtwdJ_PRxg/dRaJy1jx2ybWy-4qjtn3zN88vAalG57FxFZuSQ0YKuA,https://www.youtube.com//watch?v=FS4wbRi1Xnw,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,M,F
Akiva Schaffer,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/zLh1u9kBIjANSr_SolZ-QQ/TQ9ztsHpGZRVTi2zKfVAPSQRmmU1b0jZ8XGvTOeiwFebVCyead1zcHdDcMVKMfBzENtcbcedvD87paklBTRsGg/xAlaKOXrvH9DBEdtLn-2g5Qxcfmz7M35B2auJEQjmQM,https://www.youtube.com//watch?v=PqoEvH6Bab0,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,M,F
Elijah Wood,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Cr4UqO92RMWKVgY954aTBw/Qnpi6qN55tA6hpgca2hB4Mkd0Dr1pTwf_cq5tecNTp08w9d4H_rqHzfit7tGoUatK0MSALAyzt3LSZ5aGWXPzQ/8t8MjCHZukab1I8rZijiTXdg8dUstwwtk3XFo_oKzcY,https://www.youtube.com//watch?v=Gti51b46QD0,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,M,F
Michael Cremo,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/De6bJZFmnejSmDheD_ljNQ/3JXgk5-AlIIKYoo1lhR1yPmMUr4txkfHu8f0xZB5zWin5OCH4Lh7eEqh8aVl9h-L18NYRm5TCDResfW8kX7FrQ/ZHsblFDHeb6_cmOZl6NktXpcWoGYXODvcpz6YEUmJ38,https://www.youtube.com//watch?v=poDKerUgj-Y,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,M,F
Christopher Nolan,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/BKf7sc-W8cwaVCsLmBS4oA/DejpLzmow2mkAa_Rl0TpSLLMeyrrLvFsNrv5ckElPoZZXxpKTWyCGjNAGY3cDLrOM2Gb3Lwnp4cY5Mei6z4AGA/Ekc2mZA9dzqmeAknJUm0SXNx3bPZNfLnwRoOZHzIWNc,https://www.youtube.com//watch?v=mctB3gGmv18,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,M
Evelien S. Vandenberghe,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xIkStXyBEK6PZgMpWQOorA/2h-FkdUKvwXKlM4sqx9ZB9sEVsSbadFf2oZhKiUgYjO921hI2b0AH1q5QYX_ycEjfvPS5V5zSr4nj-n07JeDTg/kOeYY3ENBj5JufmVN54ZU3BKdCkdjQxppC74ZPUsMyo,,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,M
Neha,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/fyYOda_cw8c04EtkgUEFGw/FpM62MH_GQZWOhX7CPmeJZkopTHy617Zas1qJs30g5D0tpSLhjIIoM_r9kWmP5MMTwjEep_CLvcugDuEsa0XKw/KJfAlz3V24YkjCdgyuVPBlr42kHlGIhWeEOInzoqZ6s,https://www.youtube.com//watch?v=CYvU5Qv0Pt8,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,M
Fred Rogers,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/djSTt6nO6SlCMk7AKtrpJA/gMorKncvOp1kfBYmUKoyq1DHyw8gVpeYtd3R5KuctDNVgyFgjI26Fn5dcO7upR6qyNe8vHgRNVHNUA9hgFfd_w/PTX_7nmCuRgxzR_tUD3TSnKnUEDR5Z0hChOcoojtltw,https://www.youtube.com//watch?v=Bp7-yJnDez4,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Bill Nye,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/aUCSHYMxIC3EfXlli-pUag/gN6MxRByq80jzvSfsWQ9VLMzt9rMDJuXwNQL6lNfkWSl-bZ-Au1wAnr9sytgHa-tm17HuMTatU228KfrQcOykw/-ptMjcEZjDY4jzo3SEX0NfXq0s7xgZAO5JVz-88XC6Q,https://www.youtube.com//watch?v=V2t_bAg8Abo,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Elon Musk,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/GYcIe9guby5FIpsgxjfhSA/d9-gUXPBNr3MUOBZR8RPPoreuLI9qtlNbSp1WUFHhSTGbhcTtZhowBf6C-acqsZrrxve3VgP_Obcsj7IVu_jmw/yZNNmtycPT0slP1ZGH3PYVaCliQatpY__08SLts1kH0,https://www.youtube.com//watch?v=k2PynmefVC4,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Donald Hoffman,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/LTT6dfF-Y-NV0DpdrznpBA/HG5XwNIhR3X3gmqLncYm9uk9s0VdsNXxBwnohtcp3EoB_p5AhemMqzkLKDz9vk1S1-J3axTURyNwLFF5adptLA/ZtCSI1ZNLfTbAvDSNVg4BmMrumWLKz7Qt5Ab8PZELDw,https://www.youtube.com//watch?v=SL8wopYLM7Y,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Jessica Cocks,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/K916iSTzrrPr2ANJ-yn9WA/Tl5F2SK4Ivi0I7p36-z5aAFiQFxQsIaxXowXrLgH-552dGDuhshtUcy9r2oH885lXD3XxE-2fIfK_LkdnkY6zQ/BranDJziUBYNgShtKwScwYgK-k3Yn574_thDLhNmJYE,https://www.youtube.com//watch?v=PP3MepqsVko,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Jimmy Carter,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/AQk9HcWSpkwW38SzI8NB9Q/6MybsUXUr-jjo0GIHxG5ztq4Cm--l8c2f9msBdzsFQulNx9JVFMVwsB4E4GwlJCEjwM8ISTnTJN8oRU9XMEeRg/1s5XhsFf6T5uhCcMnwrwZfdlf_y2FmV-nU2SrykcoX0,https://www.youtube.com//watch?v=901516w9GW4,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Klara H,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/4I6XglVkuPQCG-4G8-y_qQ/T81VBkwT4q0jubu4681VTpqz_rWQ4gmQupFIFdpH8LRmuoiBvlaz4EN6Etkn-Lj2VyWxmRn7vGvRieejCpBruA/a2rizYk6Kbwc0jZpOaW0CgOVIn75YQokWhAIv032hbs,https://www.youtube.com//watch?v=QjTCB2qFpFE,,Oe,De,DD,Ti,Si,Sleep,Consume,Energy,F,F
Peter Diamandis,MM-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-8gK1y5zKMAQgRddkogo7A/Jl87Dbg6VvAF_VZ8QSuT_9gq2ntvKX91y1g3hePHSG8UOD7XrB-bSIUCAvAVXeRAM89KeO3Y3aevFYz5E9OeuQ/HuKQORAw14veq9tqeKq3Dvb3kBqnhZ7hKIquWbVcULY,https://www.youtube.com//watch?v=60StHg1eOuM,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,M,M
Harrison Lemley,MF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/_Q3E9u6_BLxFxMhLhpOUBw/b5UwdRPnsfHCqDKr5GjcUyh0ps5mX5Mr6u4tck43nrsOGQo2S89Gw4kyffs5nUNp_ax9mFbJ8-8ziP-kRYR7tQ/qJeRZGotPvB-IhIbHbPpYdqCj0KgC2pUI0R4RFpUFps,https://www.youtube.com//watch?v=qomKg1XQXFE,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,M,F
Sam Harris,MF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/YJxRPMeJ1cdF8y0-mZC5kQ/1u-_Se_jDQ-4BdH-bPyeZWhNO0dbPvwaPyKfSM--11SRgfwKQYCx-QZIhshEUOLBw5uk1vu3U_kit6pLcMVLYA/r-RVv5FtNbzOePs6NMrHVfxa0SOYaFw-xpPGG6Z0BQA,https://www.youtube.com//watch?v=4dC_nRYIDZU,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,M,F
Tom Hanks,MF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/xoiKsZxzQPaAgiwUnr2QyA/upm0cD7BQh6_Cooc6kDnZ3Xr0CW9S3ozjdqXLBRIDoS4_lTi7uXQOJsZNFdguoR7OsYUhlt87nbOm_P0FUJAiw/JAoZ2tg0GM3wBUC32ir1iIGdXaJROsF9PZdHlrJE6c8,https://www.youtube.com//watch?v=XgOBq6OK3Ng,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,M,F
Rebecca Smith,FM-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/LrDfkU0usL7pHiiF_FpJ3w/O3i4yOOLNW_EHqjrd94M4g6MJzR-aXopd-femfuvMXNhZ1sC2f0TTt53uqrer5TB8woCPcLnC-IOzFq3z2419g/FxCINrVn7CWpYer0ol3BoRH6Rq0--Toflq8xJxPPpLU,https://www.youtube.com//watch?v=8ZbkR0yFBFA,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,F,M
Stephen Sackur,FM-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/b1QOqSrDvnBKSzVRjHkVzA/oQuQdOByFzyfaJl0CkdYPcevnoxvqlOn969wx94WHRwZzAYOukXnFBS6OE2cVXma3owqVNuBiVvXGYqnqqcfoQ/kMc22A7Sdkhug_dJEO81_0eeaLwYN8dFT4TA0LeIlsU,https://www.youtube.com//watch?v=tzDgWBy9acg,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,F,M
Ayaan Hirsi Ali,FF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/CT49XKAGOYd_6Y0mYWripA/E-jpD9ufvrcDlpztpFnHdTE9C5hImp9HmRCIOuVsTMmvnsinT_uX1cB9lcbarphjm5cilv6AY9Dr-ev31Qx_7w/wCm6uyUvdIXLpDhzW_gA4EcIhxFkCtEHqRWMBwXRAug,https://www.youtube.com//watch?v=1HWo9eYL1Rk,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,F,F
Brian Haennelt,FF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/LZs6PXNepJ0QZekk4UYZhQ/WL37GP7t2qSE_BHOl3PWnUFFN1Kt3ABwGNpcRMUmOj-h6zN_A6etPW4bnRX5D4QduFC9er27jNWIl3blgi3wIg/qQr1WdJVso-SfcyOYCXN04hJmOHyA4jwW-4y9NNIu60,,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,F,F
Kiani,FF-Ti/Si-SC/B(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/4etao80lxPId09hdZnVl0Q/2NxSTDFj6607twAulRWyIHsJjXl-wgJ0neIz6uri2d6rrGw1YcTAOP09ymNSyBkhiFirbLKSFjXR-Wy5G9wUeA/rocWBN-XZQ2eM5vKostcjZr_W_7z4473u1uHhZon4Pg,https://www.youtube.com//watch?v=mSHbdui3Bhk,,Oe,De,DD,Ti,Si,Sleep,Consume,Info,F,F
Andreas,MM-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ysDuO_JTBHd2HTZSpwFgcw/A6dop-GqLSvZc3QPSYgX89hy2fcBq59wZEbWjwIWWzoW75NP0KwOflWeRmBjAyWMcduzuXSvZA5IqEip57kULA/9LSr4brUZfoaULndjYKrVJyt67uKJ1bKx15evkDZBl4,https://www.youtube.com//watch?v=9lY3ABblkEI,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,M
John Plant,MM-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/mVEtN1yTIOWabq9dVqa8rg/nwUXXVNJPr5f8Obr8PN_ube8BAdAlD1ifWQqBFqVFwasiQ39rkZ2feTZmeQODin_cz6klaRSvyl9tDOKflxxxg/sJiQ8kRNAZTIXYGHceCSEAiDDUonG3y7RfP686_oLQ4,https://www.youtube.com//watch?v=iddFlIcxQi4,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,M
