name,ops,image_url
Elaine Aron,Decider; BS/C(P),
Prince Harry,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/ecIq-op2kISeLIEA2vDlwA/SX5B_hWJcdBiu3Cfd44FIq5wWnouqpJqnJ28rlpuXvpioUEN9UUQlEwQUcc4aaSEcloiAnb1ZjVR-FFnAJZCyg/JSbQ9quk-W3EOLKsk8WlQ3xCtHCmKztXl7YrZ9y6n6o
Akiva Schaffer,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/TqIQyAW8NRKKWTDF7P8qjA/51IVISmhQaCqGff_Pi51KIUyigP54k1dxx3hKsehpuMU9MAPzEDcx2NXkYEl3ok6paSvRPG3Ut1u_iMvb8F8lw/OTpuurJTyzYxRqDsJZEE2W1SepG5m1m5nxXmJ07qUL8
Elijah Wood,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/CBdW-p7xejqigWbzpFwfaw/0GtFMnfB-t_nmw6_f5W4XmpZI_L6DjwF3CXdFbEx2LX59IIjNw18yNZBHd_vF4h_Oc-1VOZGIFZA6VPEY23YqA/LkTW3RDsppgTYEV_ixKeC423y-GnsLEVuFiyalIIWQc
Michael Cremo,MF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/GdoIr80tuM2oKnEuBH8h-A/HJk3Oh4TbLkxjrI574bkNo-NQe5pt-GP20hifwt88_ihw_-iRaFoMC90OL6BQui0cZlQz6PZ5KMxQoUgKNL7dw/o-6mppv4TBMzWakPnDRU3Zvn4-OyQu25DBrGOhhcY04
Christopher Nolan,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/XjH-WP6bCIk-_GKh41tMJQ/smi68K0jIwHM05KtNfEPdvNBFBaO7OeW7DhzPy3AhBRifCA5YSZ1Xzds6ukgK45fc3FAkF3v4R0cIP6r3IePkw/SspBpDVmgfWSUNd-7d0ce_AZO5IMC0YDjzEjpUb_GpQ
Evelien S. Vandenberghe,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/bgn1wCbJItwV25QuWwpWLw/r7_l1GmaSe1Wc86Q15LznxQBsHnoNs8cGe0GziXCrZ51oYH6TFJXKQQRfhBwlG-tGC897WA97KsWp9NKm13Nmg/-ZvPs-1QSdrHvav6exZJTxJ375v4JYgYPGUcePUeoes
Neha,FM-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/-YehTH7Q4TbhVoQqH2-Q7A/nB2_85s87AEeuGsQaC4-YwMZEbHjG0htDUx1Sjfl24hR8mp5pAIOQCY1kvWYVsa-b6RcpApSBEPo6AkEg0KSmQ/x_6Nz49d0mZAv1KJQ6HIRdbu6mc1Liqfjm8L7PHRX_M
Fred Rogers,FF-Ti/Si-SC/P(B) [4],https://v5.airtableusercontent.com/v1/21/21/1696514400000/fzmVVzDQHW20taxl7PTXmA/PdxJA9M5RmfNrbJapBx0YXMdpUcbgf6CDet4SlNJhNP7-hpDlwzzGvPAvxJ5VYSoNh4-7DstV9d3c_s5U2eClw/TbJP_vYVb1km7tbSPYhBmmWqQSBSmBkSsxPhjpSbicM
Bill Nye,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/o2WydvkNd5uMB05pbYnbFQ/-hBmuE4jg5r-rak6KHKLtvBs74TarVDct8Ny097IBlXlgrmFTiOU9C7XGDESMsMwOZEmGZjWk6hUxXkdl_Md3A/dET4hTCcIFz81OaiBID9694CIUom_FXIICfL23Rlx9Q
Elon Musk,FF-Ti/Si-SC/P(B) [2],https://v5.airtableusercontent.com/v1/21/21/1696514400000/cUvMZJbpa7F2yRXmLH7-kw/h9ELVT_lHmxWk6gKpxOk6BKWREYDOx4bNbMkjN22LohhCmZPRA-D3efGWmMeUgerTYufqgl3FBtLOI6heOslyw/qjrrXZHnEpFr0NICKDhwRJMYyNBthqVWz1ZpJkZflDk
Donald Hoffman,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/jZYRS70gPLzh3J-ACwUbDA/OMFYSLuslDo7IKHhAaBnlF_dlSCrcqqaKKzvY8lZFUz-CEIe4KBzH0kFMmH0OoCujG0yt-RPD9tgtPmZVXl8og/WIp4t6papPTSghChIdVp7obylmt2NM5QGt9zTi38JXM
Jessica Cocks,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/Swkd6iJe0eyyGUCrIBxmWQ/MvKfUIBA7KMaan4Vo4lpCZ_cCAIlfQhh8vkqTU94XgXoFJ4ZEWkjW8nb0GcOYXzQ8BMff9RZqKOUZraYwc_E2Q/A0hYdSo4PdHE6-leEN2uCh6R03kTRWIJDB-TIpz6lOk
Jimmy Carter,FF-Ti/Si-SC/P(B) [4],https://v5.airtableusercontent.com/v1/21/21/1696514400000/jg77XYlYXOwjyB_deLRf8Q/D2ic9z6wGmxAOyru1GUqgbBzt5jSmkZw7EQ3-wAl0_bjUt5B4mMweTjy3e8wflSOTxaU1nFQ7WYNCWeUk2WSWw/LdBC9OxBtLL4gRhTNlUEnsqBH3plLYlQP-JoG6L9suM
Klara H,FF-Ti/Si-SC/P(B),https://v5.airtableusercontent.com/v1/21/21/1696514400000/OnZXTip-Opxf6yXz8jwYUw/xRz6TPmA1osUZ5yZV0yFP895nqkvim1WL3J7YdaOidR0KhH5DGV1AF-zOszWuc0bC8b8nowWgo-JXz46vUTBcQ/i8j7CpQQZN95lqf9mpsTVRWVg6y-0-a1Yzz6HO5C0z4
